dataset,estimator,time,model_string,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RILS-ROLS,121.45942044258118,"(((0.148082*MAX(MAX((x173-x285), (x285-(x4*x890))), ((MAX((x100*MAX(x530, x489)), ((x22*MAX(x429, x321))+(x4*MAX(x260, x279))))*x212)-(((x209*MAX(x310, x603)))**2))))+(0.189104*(((x212-x756)+x22)<x226)))+0.254400)",0.6725013805201966,0.6557893216370047,0.6558333333333334,0.7268495674933573,0.5402135053376335,0.54
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,HROCH,120.02888822555542,x999*(x998 - 2.0604118080809712)*(x998 - 0.28523862082511185),0.6379973330781077,0.6980047166797686,0.6191666666666666,0.6329487817401294,0.6991049776244407,0.62
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,CatBoost,10.420465230941772,,0.2295881174022358,1.0,1.0,0.7035796493298647,0.5160629015725393,0.525
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,GradientBoosting,4.1079630851745605,,0.36467437520544116,0.999502776396601,0.9883333333333333,0.7396128493811522,0.47696192404810117,0.4725
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LGBM,1.052168369293213,,0.04093668442740348,1.0,1.0,0.8302954430625026,0.46293657341433536,0.4675
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,XGB,1.9656786918640137,,0.012988484769947694,1.0,1.0,0.9991778244350351,0.45471136778419463,0.4975
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DecisionTree,0.19101810455322266,,2.2204460492503136e-16,1.0,1.0,18.472372361922538,0.4873246831170779,0.4875
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LogisticRegression,0.20234465599060059,,0.06559904904576776,1.0,1.0,2.80527048350536,0.5283882097052427,0.51
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNeighbors,0.05986905097961426,,0.5658180904738113,0.7612326700907504,0.7025,2.3475283407859706,0.4834370859271481,0.485
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RandomForest,0.6866230964660645,,0.20374792080528695,1.0,1.0,0.6969076227127363,0.5090877271931799,0.4975
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,1.707772970199585,,0.8222732674683851,0.00013888927469242956,0.9925,0.695064365635055,0.49073726843171084,0.4925
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,RILS-ROLS,121.01289176940918,"(((0.553552*(0<(((x19-x18))**2)))+(-0.169760*MAX(x18, x19)))+0.392961)",0.6465746944946806,0.6864769068802967,0.6866666666666666,0.6469889755997167,0.6781794544863621,0.6775
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,HROCH,120.01662254333496,0.4299943745136261/(0.24115115404129028*x18 + 0.06316587328910828*x19 + (x18 - x19 + 0.00778303062543273)**2 - 0.74237120104953651),0.6064848383230463,0.7220992280534112,0.6866666666666666,0.6114735703788908,0.7258306457661441,0.6775
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,CatBoost,0.930290937423706,,0.3594392780091193,0.9749110414195594,0.9166666666666666,0.6086780730596096,0.7311932798319958,0.67
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,GradientBoosting,0.14574384689331055,,0.5371948505059885,0.8499495831932866,0.7575,0.6388889666682642,0.6951923798094952,0.6475
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,LGBM,0.04595518112182617,,0.31470140721296774,0.9843582898841385,0.9375,0.6555144623450531,0.6875921898047451,0.6325
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,XGB,0.06668424606323242,,0.11899018458323934,0.9998944441512337,0.995,0.8143479193598747,0.6559163979099478,0.6225
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,DecisionTree,0.005826711654663086,,2.2204460492503136e-16,1.0,1.0,16.3998622920483,0.5449886247156179,0.545
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,LogisticRegression,0.042813777923583984,,0.6878831763730466,0.557554326539796,0.5316666666666666,0.696006012603089,0.5145878646966174,0.51
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,KNeighbors,0.020514249801635742,,0.5574987542815057,0.7657618493384705,0.7,1.6595487077802287,0.5832895822395561,0.555
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,RandomForest,0.26995015144348145,,0.19786957012918163,1.0,1.0,0.6674771714338054,0.6436160904022601,0.61
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,SVC,0.2539212703704834,,0.6441111391644739,0.8654996263878512,0.7741666666666667,0.6833053005717512,0.6128403210080252,0.5975
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,RILS-ROLS,121.1114604473114,"((((-1.159626*(cos(x19)<x18))+(0.603137*MAX(x18, x19)))+(0.240893*(x19*x18)))+0.342424)",0.5858855403909683,0.7955591543309843,0.7958333333333333,0.589935826658364,0.7858196454911373,0.785
