,dataset,estimator,time,model_string,random_seed,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score,est_params
720,clean2,LogisticRegression,0.0953540802001953,,57302,7.631562980041031e-06,1.0,1.0,4.38249757624985e-05,1.0,1.0,"{""C"": 0.5712532795576841, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 57302, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
721,clean2,LogisticRegression,0.0810604095458984,,92067,5.020437208762011e-06,1.0,1.0,5.899958958515678e-06,1.0,1.0,"{""C"": 1.0955768966891215, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 92067, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
722,clean2,LogisticRegression,0.1070523262023925,,33585,5.6005565498530495e-06,1.0,1.0,2.0876644999027476e-05,1.0,1.0,"{""C"": 0.7829767218226783, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 33585, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
723,clean2,LogisticRegression,0.1095900535583496,,41729,5.081167263078759e-06,1.0,1.0,5.147887632100108e-05,1.0,1.0,"{""C"": 1.2296502474449693, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 41729, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
724,clean2,LogisticRegression,0.0962522029876709,,66580,7.294476538133555e-06,1.0,1.0,3.976670731171587e-05,1.0,1.0,"{""C"": 0.7557170356087451, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 66580, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
725,coil2000,LogisticRegression,0.1260735988616943,,57302,0.196917724276352,0.7691263441249678,0.941071655848288,0.207528531374586,0.7401763522310332,0.9389312977099236,"{""C"": 0.11591147980951495, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 57302, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
726,coil2000,LogisticRegression,0.143010139465332,,92067,0.1981528183797436,0.7668652692906704,0.9404352806414662,0.2012547412809132,0.7490834312573443,0.9409669211195928,"{""C"": 0.1005186783669353, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 92067, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
727,coil2000,LogisticRegression,0.1162080764770507,,33585,0.195368908348176,0.7745313154587348,0.9408171057655592,0.213368148253378,0.7183740879510945,0.9389312977099236,"{""C"": 0.10089121065390369, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 33585, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
728,coil2000,LogisticRegression,0.2626891136169433,,41729,0.1939113281412521,0.7780759817068336,0.941071655848288,0.2196333828866703,0.6982979461498092,0.9379134860050892,"{""C"": 0.10055466676957275, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 41729, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
729,coil2000,LogisticRegression,0.1049985885620117,,66580,0.2001100741682916,0.7706798438841445,0.9394170803105512,0.1922152317989112,0.7343570797852366,0.9455470737913486,"{""C"": 0.10231797068344228, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 66580, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
730,credit_g,LogisticRegression,0.5283000469207764,,57302,0.5023805534629622,0.7866862247906592,0.74625,0.5676070221469572,0.6866319444444445,0.71,"{""C"": 0.10111887127560004, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 57302, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
731,credit_g,LogisticRegression,0.5293333530426025,,92067,0.5205820524820018,0.7641539404954525,0.7275,0.5013385421103245,0.7680039258986627,0.74,"{""C"": 0.10395129752462731, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 92067, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
732,credit_g,LogisticRegression,0.5162386894226074,,33585,0.4987381494077979,0.7907850707850708,0.7475,0.5905777380293388,0.6693416927899687,0.67,"{""C"": 0.10035104986421513, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 33585, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
733,credit_g,LogisticRegression,0.3079321384429931,,41729,0.5184182680027343,0.770877162225339,0.7325,0.5113772671254104,0.7407744282744283,0.74,"{""C"": 0.10093897155701625, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 41729, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
734,credit_g,LogisticRegression,0.555490255355835,,66580,0.5264193748600546,0.7615657588226329,0.72875,0.4812889377836252,0.7784835788620084,0.775,"{""C"": 0.1002972092534419, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 66580, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
735,dis,LogisticRegression,0.1963472366333007,,57302,0.0688384862077173,0.8266064904362777,0.9844216108717267,0.0739636210741489,0.7207966764418378,0.9854304635761588,"{""C"": 6.531239836201394, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 57302, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
736,dis,LogisticRegression,0.1718814373016357,,92067,0.0747638512442738,0.8158806341147381,0.9830957905203844,0.0492912072289564,0.7809396485867074,0.990728476821192,"{""C"": 8.96588264617679, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 92067, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
737,dis,LogisticRegression,0.1249711513519287,,33585,0.0715498359809517,0.8236151603498542,0.9837587006960556,0.0648454690603506,0.6703902293714626,0.9880794701986756,"{""C"": 2.3766430235627505, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 33585, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
738,dis,LogisticRegression,0.1510875225067138,,41729,0.0691846470908393,0.8123161576397935,0.9847530659595624,0.0723426765480921,0.7953117990130103,0.9841059602649008,"{""C"": 5.845295733431168, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 41729, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
739,dis,LogisticRegression,0.2279095649719238,,66580,0.0671759536862422,0.8040852521175428,0.9854159761352336,0.0843235057723453,0.7609408135723925,0.981456953642384,"{""C"": 3.2138718959337, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 66580, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
740,flare,LogisticRegression,0.0061268806457519,,57302,0.3937425775585542,0.7574598839194264,0.8286384976525821,0.4148859104410732,0.7367537028553978,0.822429906542056,"{""C"": 0.10006745509328521, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 57302, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
741,flare,LogisticRegression,0.0072383880615234,,92067,0.4053540536724663,0.7445702502219634,0.8251173708920188,0.3756205520167317,0.7528042859534572,0.8457943925233645,"{""C"": 0.10107665301539423, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 92067, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
742,flare,LogisticRegression,0.0062904357910156,,33585,0.3967092737716523,0.7362810995184591,0.8321596244131455,0.4111832737273775,0.8034330011074197,0.8130841121495327,"{""C"": 0.10036436222269997, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 33585, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
743,flare,LogisticRegression,0.0059685707092285,,41729,0.4039991678889021,0.7416280544310588,0.8286384976525821,0.3773493193883672,0.7983661627729424,0.8271028037383178,"{""C"": 0.10132592384400835, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 41729, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
744,flare,LogisticRegression,0.0065753459930419,,66580,0.3977198913112486,0.7588941959762628,0.8286384976525821,0.3979554934144905,0.7442138866719873,0.8177570093457944,"{""C"": 0.10524719765963876, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 66580, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
745,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LogisticRegression,0.0141336917877197,,57302,0.2399758080182179,0.993517813195828,0.96171875,1.3476483920740532,0.4659943714821764,0.45625,"{""C"": 0.10006702276690953, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 57302, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
746,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LogisticRegression,0.0230007171630859,,92067,0.2485250234822129,0.9903344490587136,0.9546875,1.3128383322829105,0.5086526817453807,0.503125,"{""C"": 0.1000424390514768, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 92067, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
747,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LogisticRegression,0.0326225757598876,,33585,0.2283630683578026,0.995162995573201,0.95859375,1.46310875147703,0.4492192086415405,0.4875,"{""C"": 0.10016489490110526, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 33585, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
748,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LogisticRegression,0.0224530696868896,,41729,0.2278155821615212,0.994979684325676,0.96875,1.4050774421389476,0.4537907268170426,0.446875,"{""C"": 0.10008410910120927, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 41729, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
749,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LogisticRegression,0.0573475360870361,,66580,0.2395389952449043,0.9931798036232752,0.9609375,1.354354287113101,0.5009992554567185,0.484375,"{""C"": 0.10012120975135719, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 66580, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
750,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,LogisticRegression,0.0031142234802246,,57302,0.6873556375527182,0.5608153638814016,0.54375,0.700987040907959,0.4882348342714196,0.478125,"{""C"": 0.10006702276690953, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 57302, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
751,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,LogisticRegression,0.004749059677124,,92067,0.6877664577300993,0.5620179736766935,0.54453125,0.701128546962001,0.4707215125590844,0.471875,"{""C"": 0.1000424390514768, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 92067, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"
